Course,Title,Description
"A,RESEC 212",Econometrics: Multiple Equation Estimation,"Introduction to the estimation and testing of economic models. Includes analysis of the general linear model, asymptotic theory, instrumental variable, and the generalized method of moments. In addition, a survey of time series, analysis, limited dependent variables."""
"A,RESEC 242",Quantitative Policy Analysis,"Production versus predatory government behavior, rent seeking, social waste, and their trade-offs with the provision of growth-promoting public goods. Three failure types are distinguished: market, government, and organizational. The roles of public versus special interests are modeled to determine degree and extent of organizational failures in collective group behavior. Alternative frameworks are used to evaluate various types of policy reform."""
"A,RESEC 262",Non-market Valuation,"The economic concept of value; historical evolution of market and non-market valuation; revealed preference methods: single site demand, multi-site demand, corner solution models, and valuation of quality changes; averting behavior; the hedonic method; contingent valuation; other stated preference methods: ranking, choice, conjoint analysis; the value of life and safety; sampling and questionnaire design for valuation surveys."""
"A,RESEC 264",Empirical Energy and Environmental Economics,"This course is designed to help prepare graduate students to conduct empirical research in energy and environmental economics. The course has two broad objectives. The first is to develop an in-depth understanding of specific empirical methods and research designs that are routinely used in the field of energy and environmental economics. The second is to familiarize students with some of the economic theories and institutions that are most relevant to empirical work in this area."""
ANTHRO 135,Paleoethnobotany: Archaeological Methods and Laboratory Techniques,"An introduction to the basic approaches and techniques in archaeobotanical analysis. A series of different data types and their unique approaches will be discussed, including phytoliths, pollen, and DNA, with an emphasis on macrofloral remains. Laboratory study will include the major classes of plant remains likely to be encountered in archaeological sites. Discussion will emphasize the use of plant remains to answer archaeological questions, rather than study the plant remains for their own sake. Microscope work and computing will be included."""
ANTHRO 138B,Field Production of Ethnographic Film,"This course is devoted to training students in methods of ethnographic field film production. Based on the previous coursework in Anthro 138A, students will work toward the production of an ethnographic video from elected project proposals. In addition to weekly discussions of student projects, guest consultants and lecturers will lend their expertise on aspects of production as well as editing."""
ANTHRO 174AC,California Historical Anthropology,"Combining historical archaeology, ethnohistory, and ethnography, this course will take account of ethnic groups and their interaction in early colonial California; Native Americans; mission, presidio, pueblo, and rancho communities of Spanish/Mexican California; Russian frontier society at Fort Ross; and American expansion into California, especially the Gold Rush. The course will also examine how the colonial past affects ethnic relations and cultural identity among contemporary California Indians."""
ANTHRO 240B,Fundamentals of Anthropological Theory,"Anthropological theory and practice--following the rest of the world--have been undergoing important restructuring in the past decade. The course is organized to reflect this fact. We will begin by looking at recent debates about the nature and purpose of anthropology. This will provide a starting point for reading a series of classic ethnographies in new ways as well as examining some dimensions of the current research agenda in cultural anthropology."""
ANTHRO 250X,"Special Topics: ""Classic Ethnography""",
ANTHRO C273,Science and Technology Studies Research Seminar,"This course will cover methods and approaches for students considering professionalizing in the field of STS, including a chance for students to workshop written work. Also listed as Environ Sci, Policy, and Management C273, Science and Technology Studies C250, and History C251."""
ARCH 129,"Special Topics in Digital Design Theories and Methods: ""The Data Made Me Do It""","Topics cover advanced and research-related issues in digital design and New Media, related to architecture. For current offerings, see department website."""
ARCH 154,Design and Computer Analysis of Structure,"Design and analysis of whole structural building systems with the aid of finite element analytical methods. Advanced structural concepts explored in a laboratory environment."""
ARCH 229,"Special Topics in Digital Design Theories and Methods: ""The Data Made Me Do It""","Selected topics in digital design theories and methods. For current offerings, see departmental website."""
ARCH 229,"Special Topics in Digital Design Theories and Methods: ""Computational Geometry""","Selected topics in digital design theories and methods. For current offerings, see departmental website."""
ARCH 229,Special Topics in Digital Design Theories and Methods,"Selected topics in digital design theories and methods. For current offerings, see departmental website."""
ARCH 271,Methods in Historical Research and Criticism in Architecture,
ART 178,Game Design Methods,"This course offers an introduction to game design and game studies. Game studies has five core elements: the study of games as transmitters of culture, the study of play and interactivity, the study of games as symbolic systems; the study of games as artifacts; and methods for creating games. We will study these core elements through play, play tests, play analysis, and comparative studies. Our reading list includes classic game studies theory and texts which support game design methods. After weekly writing and design exercises, our coursework will culminate in the design and evaluation of an original code-based game with a tangible interface."""
ASTRON 250,Special Topics in Astrophysics,"Topics will vary from semester to semester. See department for announcements."""
BIO ENG C144,Introduction to Protein Informatics,"This course will introduce students to the fundamentals of molecular biology, and to the bioinformatics tools and databases used for the prediction of protein function and structure. It is designed to impart both a theoretical understanding of popular computational methods, as well as some experience with protein sequence analysis methods applied to real data. This class includes no programming, and no programming background is required. Also listed as Plant and Microbial Biology C144."""
